Name,Location,Started,Updated,Acres burned,% contained
Middle Fork Complex Fire,"Boise, ID","August 8, 2024 3:30 PM PDT","September 15, 2024 11:15 AM PDT",61484,90
Elizabeth Fire,"Summit, UT","September 14, 2024 10:34 AM PDT","September 23, 2024 6:27 AM PDT",105,60
Pack Trail Fire,"Teton, WY","September 15, 2024 1:52 PM PDT","September 25, 2024 5:19 AM PDT",23,0
Makaopuhi Fire,"Hawaii, HI","September 16, 2024 2:23 PM PDT","September 20, 2024 3:40 PM PDT",90,Not available
Frog Pond Fire,"St. Louis, MN","September 16, 2024 12:11 PM PDT","September 17, 2024 9:35 AM PDT",0.21,Not available
Beury Mtn Fire Fire,"Fayette, WV","September 12, 2024 9:16 AM PDT","September 25, 2024 11:46 AM PDT",10.4,Not available
Twisted Fire,"Ziebach, SD","September 18, 2024 1:37 PM PDT","September 19, 2024 8:30 AM PDT",NA,Not available
Bronco Fire,"Sioux, NE","September 18, 2024 11:06 AM PDT","September 20, 2024 10:21 AM PDT",1069,97
Corral Fire,"Elmore, ID","September 9, 2024 12:35 PM PDT","September 19, 2024 1:45 PM PDT",82,0
Avins Fence - Powder River Fire,"Powder River, MT","September 16, 2024 5:35 PM PDT","September 19, 2024 5:48 PM PDT",133.5,Not available
Livingston Draw Fire,"Johnson, WY","September 17, 2024 3:55 PM PDT","September 19, 2024 6:28 PM PDT",1400,100
Wall Fire,"Platte, WY","September 19, 2024 12:58 PM PDT","September 20, 2024 9:21 AM PDT",0.01,100
Hidden Timber Fire,"Todd, SD","September 20, 2024 12:00 PM PDT","September 20, 2024 4:08 PM PDT",25,Not available
Spring Pond 3 Fire,"Essex, MA","September 13, 2024 10:43 AM PDT","September 26, 2024 1:21 PM PDT",95,Not available
Wapi Fire Fire,"Blaine, ID","September 13, 2024 11:13 AM PDT","September 22, 2024 5:41 PM PDT",132,Not available
Birch Fire,"Valley, ID","August 17, 2024 10:00 AM PDT","September 26, 2024 2:08 PM PDT",2950,0
Garden Fire,"Lemhi, ID","September 8, 2024 6:36 PM PDT","September 23, 2024 12:46 PM PDT",380,0
Greyhound Fire,"Custer, ID","August 11, 2024 10:42 AM PDT","September 23, 2024 12:54 PM PDT",84.5,0
Bottom Creek Fire,"Douglas, OR","September 17, 2024 8:05 PM PDT","September 24, 2024 8:37 AM PDT",232,15
Game Farm Fire,"Ocean, NJ","September 15, 2024 11:37 AM PDT","September 24, 2024 5:27 AM PDT",1.3,Not available
Firework Fire,"Ziebach, SD","September 23, 2024 5:11 PM PDT","September 24, 2024 9:22 AM PDT",NA,Not available
Saturn 7 Fire,"San Diego, CA","July 19, 2024 10:48 AM PDT","July 31, 2024 5:10 PM PDT",0.1,Not available
Chapel Site Group 1 Fire,"Alger, MI","September 21, 2024 11:40 AM PDT","September 25, 2024 7:02 AM PDT",NA,Not available
Titanium Fire,"Glacier, MT","June 20, 2024 12:50 PM PDT","June 20, 2024 1:02 PM PDT",NA,Not available
Fork Ridge Fire,"Polk, TN","September 12, 2024 4:31 PM PDT","September 25, 2024 2:34 PM PDT",60,Not available
Brigade Fire,"Coconino, AZ","September 21, 2024 10:45 AM PDT","September 26, 2024 8:45 PM PDT",1812,0
Passiac 2 Fire,"Sheridan, WY","September 23, 2024 6:13 PM PDT","September 26, 2024 8:48 AM PDT",356,100
Goosmus Fire,"Ferry, WA","September 25, 2024 2:47 PM PDT","September 26, 2024 6:38 PM PDT",1700,0
Selah Butte Fire,"Yakima, WA","September 25, 2024 1:55 PM PDT","September 26, 2024 12:22 PM PDT",120,Not available
Lincoln Fire Fire,"Mellette, SD","September 26, 2024 12:14 PM PDT","September 26, 2024 4:09 PM PDT",800,0
Cheyenne River Fire,"Converse, WY","September 26, 2024 11:08 AM PDT","September 26, 2024 5:12 PM PDT",0.1,Not available
Day Ridge Fire,"Wallowa, OR","September 25, 2024 3:48 PM PDT","September 26, 2024 9:49 AM PDT",21,Not available
Phelps Fire,"Fresno, CA","September 19, 2024 1:34 PM PDT","September 25, 2024 2:02 AM PDT",35,100
Plymire Fire,"Tehama, CA","September 26, 2024 3:19 AM PDT","September 26, 2024 10:03 AM PDT",14,Not available
